Customer ID,Full Name,Date of Purchase,Age,State,MTN Device,Gender,Satisfaction Rate,Customer Review,Customer Tenure in months,Subscription Plan,Unit Price,Number of Times Purchased,Total Revenue,Data Usage,Customer Churn Status,Reasons for Churn,Suffix,percentage
CUST0032,Maryam Terry,1-Feb-25,65,Kogi,Mobile SIM Card,Male,3,Good,32,7GB Monthly Plan,3500,13,45500,13394,No,Costly Data Plans,"Kogi , Nigeria",100
CUST0047,Bala Christian,1-Feb-25,70,Delta,Broadband MiFi,Male,3,Good,42,150GB FUP Monthly Unlimited,20000,20,400000,15863,No,Costly Data Plans,"Delta , Nigeria",100
CUST0076,Nura Mcneil,1-Feb-25,70,Kano,5G Broadband Router,Female,3,Good,2,30GB Monthly Broadband Plan,9000,5,45000,3669,No,Costly Data Plans,"Kano , Nigeria",100
CUST0076,Nura Mcneil,1-Feb-25,70,Kano,4G Router,Female,3,Good,2,165GB Monthly Plan,35000,1,35000,1438,No,Costly Data Plans,"Kano , Nigeria",100
CUST0086,Amina Rivas,1-Feb-25,62,Gombe,5G Broadband Router,Female,3,Good,25,150GB FUP Monthly Unlimited,20000,18,360000,6627,No,Costly Data Plans,"Gombe , Nigeria",100
CUST0091,Ngozi Fox,1-Feb-25,31,Cross River,4G Router,Male,3,Good,49,10GB+10mins Monthly Plan,4500,12,54000,16343,No,Costly Data Plans,"Cross River , Nigeria",100
CUST0091,Ngozi Fox,1-Feb-25,31,Cross River,Mobile SIM Card,Male,3,Good,49,2.5GB 2-Day Plan,900,13,11700,8327,No,Costly Data Plans,"Cross River , Nigeria",100
CUST0091,Ngozi Fox,1-Feb-25,31,Cross River,Broadband MiFi,Male,3,Good,49,120GB Monthly Broadband Plan,24000,13,312000,7511,No,Costly Data Plans,"Cross River , Nigeria",100
CUST0121,Tunde Smith,1-Feb-25,36,Kogi,Broadband MiFi,Female,3,Good,31,120GB Monthly Broadband Plan,24000,2,48000,14787,No,Costly Data Plans,"Kogi , Nigeria",100
CUST0121,Tunde Smith,1-Feb-25,36,Kogi,Mobile SIM Card,Female,3,Good,31,1.5GB 2-Day Plan,600,6,3600,8387,No,Costly Data Plans,"Kogi , Nigeria",100
CUST0121,Tunde Smith,1-Feb-25,36,Kogi,5G Broadband Router,Female,3,Good,31,30GB Monthly Broadband Plan,9000,13,117000,19944,No,Costly Data Plans,"Kogi , Nigeria",100
CUST0135,Bola Anderson,1-Feb-25,25,Benue,Mobile SIM Card,Male,3,Good,31,10GB+10mins Monthly Plan,4500,4,18000,19243,No,Costly Data Plans,"Benue , Nigeria",100
CUST0137,Zina Singh,1-Feb-25,28,Taraba,4G Router,Female,3,Good,59,10GB+10mins Monthly Plan,4500,18,81000,374,No,Costly Data Plans,"Taraba , Nigeria",100
CUST0151,Tega Mendez,1-Feb-25,72,Bayelsa,4G Router,Female,3,Good,53,10GB+10mins Monthly Plan,4500,11,49500,19293,No,Costly Data Plans,"Bayelsa , Nigeria",100
CUST0151,Tega Mendez,1-Feb-25,72,Bayelsa,Mobile SIM Card,Female,3,Good,53,1GB+1.5mins Daily Plan,500,16,8000,14711,No,Costly Data Plans,"Bayelsa , Nigeria",100
CUST0151,Tega Mendez,1-Feb-25,72,Bayelsa,5G Broadband Router,Female,3,Good,53,60GB Monthly Broadband Plan,14500,9,130500,6551,No,Costly Data Plans,"Bayelsa , Nigeria",100
CUST0166,Sade Suarez,1-Feb-25,51,Borno,Mobile SIM Card,Male,3,Good,16,1GB+1.5mins Daily Plan,500,13,6500,12575,No,Costly Data Plans,"Borno , Nigeria",100
CUST0166,Sade Suarez,1-Feb-25,51,Borno,4G Router,Male,3,Good,16,165GB Monthly Plan,35000,3,105000,1557,No,Costly Data Plans,"Borno , Nigeria",100
CUST0166,Sade Suarez,1-Feb-25,51,Borno,Broadband MiFi,Male,3,Good,16,60GB Monthly Broadband Plan,14500,9,130500,10336,No,Costly Data Plans,"Borno , Nigeria",100
